part_id,value,symbol,footprint,description,mfg,mpn,lcsc,rating,package
CAP-001,22n,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,22nF ±10% 50V Ceramic Capacitor X7R 0402,muRata,GRM155R71H223KA12D,C77023,50V 10%,0402
CAP-002,10n,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,10nF ±5% 50V Ceramic Capacitor C0G 0603,muRata,GRM1885C1H103JA01D,C85973,50V 5%,0603
CAP-003,10n,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,10nF ±5% 25V Ceramic Capacitor C0G 0402,muRata,GRM1555C1E103JE01D,C3855387,25V 5%,0402
CAP-004,4n7,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,4.7nF ±5% 50V Ceramic Capacitor C0G 0603,muRata,GRM1885C1H472JA01D,C85980,50V 5%,0603
CAP-005,4n7,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,4.7nF ±5% 50V Ceramic Capacitor C0G 0402,muRata,GRM1555C1H472JE01D,C1518204,50V 5%,0402
CAP-006,2n2,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,2.2nF ±5% 50V Ceramic Capacitor C0G 0603,muRata,GRM1885C1H222JA01D,C77033,50V 5%,0603
CAP-007,2n2,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,2.2nF ±2% 50V Ceramic Capacitor C0G 0402,muRata,GRM1555C1H222GA01D,C2987940,50V 2%,0402
CAP-008,1n5,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,1.5nF ±5% 50V Ceramic Capacitor C0G 0603,muRata,GRM1885C1H152JA01D,C162204,50V 5%,0603
CAP-009,1n5,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,1.5nF ±5% 50V Ceramic Capacitor C0G 0402,muRata,GRM1555C1H152JA01D,C668348,50V 5%,0402
CAP-010,1n,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,1nF ±5% 50V Ceramic Capacitor C0G 0603,muRata,GRM1885C1H102JA01D,C77026,50V 5%,0603
CAP-011,1n,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,1nF ±5% 50V Ceramic Capacitor C0G 0402,muRata,GRM1555C1H102JA01D,C76947,50V 5%,0402
CAP-012,470p,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,470pF ±5% 50V Ceramic Capacitor C0G 0603,muRata,GRM1885C1H471JA01D,C85979,50V 5%,0603
CAP-013,470p,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,470pF ±5% 50V Ceramic Capacitor C0G 0402,muRata,GRM1555C1H471JA01D,C76971,50V 5%,0402
CAP-014,220p,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,220pF ±5% 50V Ceramic Capacitor C0G 0603,Samsung Electro-Mechanics,CL10C221JB8NNNC,C27675,50V 5%,0603
CAP-015,220p,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,220pF ±5% 50V Ceramic Capacitor C0G 0402,muRata,GRM1555C1H221JA01D,C71693,50V 5%,0402
CAP-016,100p,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,100pF ±5% 50V Ceramic Capacitor C0G 0603,Samsung Electro-Mechanics,CL10C101JB8NNNC,C14858,50V 5%,0603
CAP-017,100p,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,100pF ±5% 50V Ceramic Capacitor C0G 0402,muRata,GCM1555C1H101JA16D,C126492,50V 5%,0402
CAP-018,18p,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,18pF ±5% 50V Ceramic Capacitor C0G 0402,muRata,GRM1555C1H180JA01D,C33149,50V 5%,0402
CAP-019,15p,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,15pF ±5% 50V Ceramic Capacitor C0G 0402,muRata,GRM1555C1H150JA01D,C76950,50V 5%,0402
CAP-020,12p,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,12pF ±5% 50V Ceramic Capacitor C0G 0402,muRata,GRM1555C1H120JA01D,C76948,50V 5%,0402
CAP-021,22n,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,22nF ±10% 50V Ceramic Capacitor X7R 0603,Samsung Electro-Mechanics,CL10B223KB8NNNC,C21122,50V 10%,0603
