part_id,value,symbol,footprint,description,mfg,mpn,rating,package
RES-001,0,INO_Symbols:R,INO_Footprints:R_0603_1608Metric,0Ω 100mW 75V Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,RC0603FR-070RL,1%,603
RES-002,0,INO_Symbols:R,INO_Footprints:R_0402_1005Metric,0Ω 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YAGEO,RC0402FR-070RL,1%,402
RES-003,5m,INO_Symbols:R,INO_Footprints:R_2512_6332Metric,2W 5mΩ Current Sense Resistor ±1% 2512 Chip Resistor - Surface Mount RoHS,Milliohm,HoYLR2512-2W-5mR-1%,2W 1%,2512
RES-004,5m,INO_Symbols:R,INO_Footprints:R_1206_3216Metric,1W 5mΩ Current Sense Resistor ±1% ±50ppm/℃ 1206 Chip Resistor - Surface Mount RoHS,Milliohm,HoLLR1206-1W-5mR-1%,1W 1%,1206
RES-005,10m,INO_Symbols:R,INO_Footprints:R_1206_3216Metric,1W 10mΩ Current Sense Resistor ±1% ±75ppm/℃ 1206 Chip Resistor - Surface Mount RoHS,Milliohm,HoLR1206-1W-10mR-1%-75ppm,1W 1%,1206
RES-006,10m,INO_Symbols:R,INO_Footprints:R_2512_6332Metric,10mΩ 2W Current Sense Resistor ±50ppm/℃ ±1% 2512 Chip Resistor - Surface Mount RoHS,FOJAN,FRM252WFR010TN,2W 1%,2512
RES-007,20m,INO_Symbols:R,INO_Footprints:R_2512_6332Metric,2W 20mΩ Current Sense Resistor ±50ppm/℃ ±1% 2512 Chip Resistor - Surface Mount RoHS,FOJAN,FRM252WFR020TN,2W 1%,2512
RES-008,20m,INO_Symbols:R,INO_Footprints:R_1206_3216Metric,1W 20mΩ Current Sense Resistor ±1% 1206 Chip Resistor - Surface Mount RoHS,Milliohm,HoYLR1206-1W-20mR-1%,1W 1%,1206
RES-009,50m,INO_Symbols:R,INO_Footprints:R_2512_6332Metric,50mΩ ±1% 2W Current Sense Resistor,UNI-ROYAL,LR122WF500MT4E,2W 1%,2512
RES-010,50m,INO_Symbols:R,INO_Footprints:R_1206_3216Metric,50mΩ 1W Current Sense Resistor ±1% 1206 Chip Resistor - Surface Mount RoHS,Milliohm,HoJLR1206-1W-50mR-1%,1W 1%,1206
